DEPTH;"Porosity
800";"Porosity
800";Kair 800;"R45 
Calculado";;PHI*Kair;"PHI*Kair
(ordenado)"
2583,3;29,1;0,291;2,254;0,249898821;RT4;0,655914;0,638409048
2596,3;27,6;0,276;2,394;0,272936762;RT4;0,660744;0,655914
2723,5;27,11209531;0,271120953;2,591549;0,291436061;RT4;0,702623235;0,660744
2667,1;30,66980446;0,306698045;3,296526;0,299172613;RT4;1,011038078;0,66404
2625,3;26;0,26;2,554;0,300888966;RT4;0,66404;0,678546
2573,6;24;0,24;2,277;0,303354871;RT4;0,54648;0,702623235
2577,6;25,3;0,253;2,682;0,318319722;RT4;0,678546;0,722049
2676,4;32,31050063;0,323105006;4,311917;0,33479491;RT4;1,39320197;0,83996
2606,4;23,4;0,234;2,695;0,344479583;RT4;0,63063;0,862224
2753,8;31,8656685;0,318656685;4,499305;0,348237703;RT4;1,433733616;1,011038078
2565,4;25,3;0,253;3,32;0,362420343;RT4;0,83996;1,39320197
2724,6;29,98244117;0,299824412;5,690734;0,426259302;RT4;1,706220974;1,433733616
2621,8;21,3;0,213;4,048;0,483459939;RT4;0,862224;1,706220974
2904,2;16,50187318;0,165018732;2,850736;0,500883211;RT3;0,47042484;0,47042484
2724,3;29,52926399;0,29529264;8,204268;0,540393563;RT3;2,422659956;0,999899158
2801,25;25,8547765;0,258547765;7,87;0,599705332;RT3;2,034770911;1,336671621
2685,7;21,64651099;0,21646511;6,174998;0,615232638;RT3;1,336671621;1,938284189
2649,2;24,68628547;0,246862855;7,851664;0,626447701;RT3;1,938284189;2,034770911
2672,8;32,60045322;0,326004532;13,33256;0,659276527;RT3;4,346474986;2,422659956
2686,4;30,06069505;0,30060695;12,53547;0,687224216;RT3;3,768249409;2,586011874
2671,3;17,81523238;0,178152324;5,612608;0,701812714;RT3;0,999899158;3,768249409
2806,8;32,51220692;0,325122069;15,30709;0,718921513;RT3;4,976672775;3,773285294
2734,2;24,43663583;0,244366358;10,58252;0,758573787;RT3;2,586011874;4,346474986
2663,8;26,18505874;0,261850587;14,41007;0,855627674;RT3;3,773285294;4,976672775
2679;26,11629322;0,261162932;23,37902;1,151263023;RT3;6,105733415;5,183283767
2561,6;22,8;0,228;24,068;1,337479027;RT3;5,487504;5,487504
2844,66;20,09024716;0,200902472;25,8;1,57818212;RT3;5,183283767;6,105733415
2687,5;22,1;0,221;34,407;1,713338541;RT3;7,603947;7,603947
2822,5;25,00459285;0,250045928;47,3;1,843504919;RT3;11,82717242;11,82717242
2695,7;25,4;0,254;57,323;2,040590864;RT2;14,560042;10,16722288
2721,8;23,4;0,234;61,546;2,307901413;RT2;14,401764;14,401764
2810,2;24,8052287;0,248052287;68,23624;2,321646332;RT2;16,92615539;14,560042
2744,4;25,13538399;0,25135384;71,30523;2,354071782;RT2;17,92284336;16,92615539
2927,1;24,24059704;0,24240597;89,1974;2,794273736;RT2;21,6219823;17,92284336
2675,4;25,3;0,253;99,845;2,870456804;RT2;25,260785;21,6219823
2777,3;23,69736385;0,236973639;93,55929;2,940783208;RT2;22,17108537;22,17108537
2794,8;28,14934745;0,281493474;127,5688;3,002689899;RT2;35,90978475;24,52317454
2833,08;23,80890732;0,238089073;103;3,103564634;RT2;24,52317454;25,260785
