2861.33	0.24	424	7.2	RT2	102.9
2868.66	0.24	371	6.82	RT2	87.63
2871.91	0.26	620	8.57	RT2	159.61
2879	0.26	192.41	4.16	RT2	50.1
2886	0.23	379	7.05	RT2	87.68
2889	0.26	366.96	6.22	RT2	94.65
2892.66	0.23	328	6.42	RT2	76.3
2898.16	0.24	458	7.48	RT2	112.18
2901.08	0.25	355	6.33	RT2	88.1
2901.2	0.26	230.1	4.66	RT2	59.61
2903.3	0.2	0.33	0.11	RT4	0.07
2904.2	0.17	2.85	0.5	RT3	0.47
2905.3	0.23	0.24	0.08	RT5	0.05
2907.66	0.26	481	7.37	RT2	123.31
2909.8	0.21	124.14	3.96	RT2	25.83
2917.83	0.26	335	5.94	RT2	85.47
2926.5	0.26	632	8.55	RT2	164.9
2927.1	0.24	89.2	2.79	RT2	21.62
2943	0.23	431	7.6	RT2	100.02
2955.16	0.17	61.2	3.21	RT2	10.17
2955.3	0.27	589.04	7.79	RT2	161.88
2957.5	0.25	790	10.26	RT1	196.66
2959	0.24	229	5.1	RT2	53.87
2972.1	0.07	0.01	0.05	RT5	0
2983	0.28	511	6.99	RT2	143.62
2987.25	0.28	243	4.54	RT2	66.84
